"lab","topicLabel","source"
"http://ROBOPROF.org/data#COMP6741_Lab02","graph","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","graph","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","graph","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","mcgill","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/worksheets/worksheet06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","mcgill","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","mcgill","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","mcgill university","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/worksheets/worksheet06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","mcgill university","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","mcgill university","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture03/slides/VocabulariesAndOntologies03.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture04/slides/BaseQueries_and_LinkedOpenDataset04.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture06/worksheets/worksheet06.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/worksheets/worksheet02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab02/COMP-474-2234-UU_Lab%2520Session_02_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab04/COMP-474-2234-UU_Lab%2520Session_04_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/worksheets/worksheet01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture01/slides/Introduction_to_Intelligent_Systems01.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","rdf","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Lectures/Lecture02/slides/KnowledgeBase02.pdf"
"http://ROBOPROF.org/data#COMP6741_Lab02","loyola college","file:///Users/sharanyu/Desktop/CleanIS/data/course_materials/COMP6741/Labs/Lab03/COMP-474-2234-UU_Lab%2520Session_03_Moodle.pdf"
