course,courseTitle
http://ROBOPROF.org/data#HIST251,HIST 251: History of the United States to the Civil War Era
http://ROBOPROF.org/data#CEPR115,CEPR 115: EFFECTIVE PUBLIC SPEAKING
http://ROBOPROF.org/data#MECH460,MECH 460: Finite Element Analysis
http://ROBOPROF.org/data#FTRA421,FTRA 421: Stage de formation : du français à l'anglais
http://ROBOPROF.org/data#COMS805A,COMS 805A: RESEARCH WORKSHOP
http://ROBOPROF.org/data#LOYC240,LOYC 240: Global Environmental Issues and Ecological Justice
http://ROBOPROF.org/data#TESL398,TESL 398: SELECTED TOPICS IN TESL
http://ROBOPROF.org/data#THEA415,THEA 415: Independent Study II
http://ROBOPROF.org/data#SOCI264,SOCI 264: Sociology of Sport
http://ROBOPROF.org/data#ENGR108,ENGR 108: Engineering Industrial Experience Reflective Learning I
http://ROBOPROF.org/data#CEPS1124EO,CEPS 1124EO: Exploring Legal and Ethical Aspects of AI
http://ROBOPROF.org/data#ELEC413,ELEC 413: MIXED-SIGNAL VLSI FOR COMMUNICATION SYSTEMS
http://ROBOPROF.org/data#AHSC444,AHSC 444: THE OLDER ADULT AND LEISURE
http://ROBOPROF.org/data#GSPD602,GSPD 602: Essential Leadership Skills
http://ROBOPROF.org/data#WSDB292,WSDB 292: Feminisms and Research Methods
http://ROBOPROF.org/data#GEOG310,GEOG 310: Refugees and Migration in Today's World
http://ROBOPROF.org/data#AERO481,AERO 481: MATERIALS ENGINEERING FOR AEROSPACE
http://ROBOPROF.org/data#PSYC233,PSYC 233: Adolescence
http://ROBOPROF.org/data#EDUC396,EDUC 396: Kindergarten Teaching Seminar
http://ROBOPROF.org/data#HIST359,HIST 359: The History and Sociology of Genocide to 1945 (also listed as SOCI 366)
http://ROBOPROF.org/data#COMS507,COMS 507: ADV. SCRIPTWRITING FOR MEDIA
http://ROBOPROF.org/data#EDUC810,EDUC 810: EDUC TECH AREA TUTORIAL
http://ROBOPROF.org/data#ENGR7961,ENGR 7961: INDUSTRIAL STAGE + TRAINING
http://ROBOPROF.org/data#PHIL497,PHIL 497: TUTORIAL IN PHILOSOPHY
http://ROBOPROF.org/data#PHYS761,PHYS 761: DEPT SEM FOR M. SC. STUDENTS
http://ROBOPROF.org/data#ENGR6251,ENGR 6251: FINITE DIFF.METHOD/C.F.D.
http://ROBOPROF.org/data#COEN6341,COEN 6341: EMBEDDED SYSTEMS DESIGN
http://ROBOPROF.org/data#SOEN487,SOEN 487: Web Services and Applications
http://ROBOPROF.org/data#RELI3890,RELI 3890: Queer Spiritualities
http://ROBOPROF.org/data#ARTH498,ARTH 498: TOPICS IN ART & ARCHITECTURE
http://ROBOPROF.org/data#MECH215,MECH 215: Programming for Mechanical and Industrial Engineers
http://ROBOPROF.org/data#POLI206,POLI 206: Introduction to Western Political Theory
http://ROBOPROF.org/data#AHSC260,"AHSC 260: PROGRAM PLANNING, DESIGN AND EVALUATION"
http://ROBOPROF.org/data#HISW253,HISW 253: History of the United States since the Civil War Era
http://ROBOPROF.org/data#COMS606,COMS 606: MEDIA RESEARCH PRACTICUM
http://ROBOPROF.org/data#MODL299,MODL 299: SPECIAL TOPICS IN MODL
http://ROBOPROF.org/data#COMS374,COMS 374: Communication Media: Intermedia II
http://ROBOPROF.org/data#CERA451,CERA 451: Independent Study I
http://ROBOPROF.org/data#SCPA301,SCPA 301: Social Debates and Issues in Public Affairs and Public Policy
http://ROBOPROF.org/data#PSYC333,PSYC 333: Fundamentals of Lifespan Development
http://ROBOPROF.org/data#ETEC581,ETEC 581: FUNDAMENTALS/DISTANCE EDUC
http://ROBOPROF.org/data#STAT480,STAT 480: Statistical Consulting and Data Analysis
http://ROBOPROF.org/data#PERC210,PERC 210: Performance Creation Studio I: Theory and Method
http://ROBOPROF.org/data#FLIT363,FLIT 363: Littératures d’Afrique francophone
http://ROBOPROF.org/data#ANTH494,ANTH 494: NEW TOPICS IN ANTHROPOLOGY
http://ROBOPROF.org/data#ENGL373,ENGL 373: 19th-Century Canadian Literature
http://ROBOPROF.org/data#ECON491,ECON 491: Environmental Economics
http://ROBOPROF.org/data#ELEC6141,ELEC 6141: WIRELESS COMMUNICATIONS
http://ROBOPROF.org/data#SOEN691D,SOEN 691D: TOPICS/SOFTWARE ENGINEERING OPEN SOURCE SOFTWARE DEV
http://ROBOPROF.org/data#ENGL233,ENGL 233: Critical Reading
http://ROBOPROF.org/data#PSYC838,PSYC 838: External Practicum II: General
http://ROBOPROF.org/data#AERO446,AERO 446: AEROSPACE VEHICLE PERFORMANCE
http://ROBOPROF.org/data#FMST220,FMST 220: Film Analysis
http://ROBOPROF.org/data#BLDG6811,BLDG 6811: LABOUR+IND L REL/CONSTRUCT N
http://ROBOPROF.org/data#SPAN601,SPAN 601: DISC ANALYS & RESEARCH METH
http://ROBOPROF.org/data#BCEE231,BCEE 231: Structured Programming and Applications for Building and Civil Engineers
http://ROBOPROF.org/data#CHEM437,CHEM 437: SELECT TOPICS-PHYSICAL CHEM
http://ROBOPROF.org/data#HIST225,HIST 225: (also listed as CLAS 242) History of the Roman Republic
http://ROBOPROF.org/data#LBCL292,LBCL 292: Modes of Expression and Interpretation I
http://ROBOPROF.org/data#GPCB598,GPCB 598: Practicing Agility: Lean Start-Up and SCRUM Basics
http://ROBOPROF.org/data#SPEC640,SPEC 640: SPEC MASTER'S LEVEL STUDIES
