topic,topicLabel,dbpedia_link
http://ROBOPROF.org/data#Apache_Maven,project object model,http://dbpedia.org/resource/Apache_Maven
http://ROBOPROF.org/data#Reusability,reusability,http://dbpedia.org/resource/Reusability
http://ROBOPROF.org/data#Java_virtual_machine,java,http://dbpedia.org/resource/Java_virtual_machine
http://ROBOPROF.org/data#Orthe,orthe,http://dbpedia.org/resource/Orthe
http://ROBOPROF.org/data#Browser_extension,plugins,http://dbpedia.org/resource/Browser_extension
http://ROBOPROF.org/data#Hunting,hunting,http://dbpedia.org/resource/Hunting
http://ROBOPROF.org/data#Version_control,source code,http://dbpedia.org/resource/Version_control
http://ROBOPROF.org/data#Version_control,scm,http://dbpedia.org/resource/Version_control
http://ROBOPROF.org/data#Mantra,mantra,http://dbpedia.org/resource/Mantra
http://ROBOPROF.org/data#CruiseControl,cruisecontrol,http://dbpedia.org/resource/CruiseControl
http://ROBOPROF.org/data#XML,rdf,http://dbpedia.org/resource/XML
http://ROBOPROF.org/data#XML,xml,http://dbpedia.org/resource/XML
http://ROBOPROF.org/data#Jar,jar,http://dbpedia.org/resource/Jar
http://ROBOPROF.org/data#Automation,automation,http://dbpedia.org/resource/Automation
http://ROBOPROF.org/data#Integrated_development_environment,ide,http://dbpedia.org/resource/Integrated_development_environment
http://ROBOPROF.org/data#TeamCity,teamcity,http://dbpedia.org/resource/TeamCity
http://ROBOPROF.org/data#Extreme_programming,xp,http://dbpedia.org/resource/Extreme_programming
http://ROBOPROF.org/data#Database,database,http://dbpedia.org/resource/Database
http://ROBOPROF.org/data#Build_automation,build tool,http://dbpedia.org/resource/Build_automation
http://ROBOPROF.org/data#Integration_testing,integration tests,http://dbpedia.org/resource/Integration_testing
http://ROBOPROF.org/data#Comparator,comparator,http://dbpedia.org/resource/Comparator
http://ROBOPROF.org/data#Missile_launch_facility,silo,http://dbpedia.org/resource/Missile_launch_facility
http://ROBOPROF.org/data#Traceability,traceability,http://dbpedia.org/resource/Traceability
http://ROBOPROF.org/data#Traceability,traceable,http://dbpedia.org/resource/Traceability
http://ROBOPROF.org/data#Pattern_matching,pattern matching,http://dbpedia.org/resource/Pattern_matching
http://ROBOPROF.org/data#Reconnaissance,reconnaissance,http://dbpedia.org/resource/Reconnaissance
http://ROBOPROF.org/data#Req,req,http://dbpedia.org/resource/Req
http://ROBOPROF.org/data#Nick_Stone_Missions,firewall,http://dbpedia.org/resource/Nick_Stone_Missions
http://ROBOPROF.org/data#Function_pointer,pointer,http://dbpedia.org/resource/Function_pointer
http://ROBOPROF.org/data#ISACA,cisa,http://dbpedia.org/resource/ISACA
http://ROBOPROF.org/data#Object-oriented_programming,oo,http://dbpedia.org/resource/Object-oriented_programming
http://ROBOPROF.org/data#Oracle_Database,oracle,http://dbpedia.org/resource/Oracle_Database
http://ROBOPROF.org/data#Secret_Intelligence_Service,sis,http://dbpedia.org/resource/Secret_Intelligence_Service
http://ROBOPROF.org/data#Asynchronous_transfer_mode,atm,http://dbpedia.org/resource/Asynchronous_transfer_mode
http://ROBOPROF.org/data#Debugging,debugging,http://dbpedia.org/resource/Debugging
http://ROBOPROF.org/data#Compiler,executable,http://dbpedia.org/resource/Compiler
http://ROBOPROF.org/data#Soen,soen,http://dbpedia.org/resource/Soen
http://ROBOPROF.org/data#Fluorine,f4,http://dbpedia.org/resource/Fluorine
http://ROBOPROF.org/data#MAC_address,mac,http://dbpedia.org/resource/MAC_address
http://ROBOPROF.org/data#Transitive_closure,transitive closure,http://dbpedia.org/resource/Transitive_closure
http://ROBOPROF.org/data#Pay_Attention,pay attention,http://dbpedia.org/resource/Pay_Attention
http://ROBOPROF.org/data#Logistics,logistics,http://dbpedia.org/resource/Logistics
http://ROBOPROF.org/data#Unix,unix,http://dbpedia.org/resource/Unix
http://ROBOPROF.org/data#Delta_Air_Lines,delta,http://dbpedia.org/resource/Delta_Air_Lines
http://ROBOPROF.org/data#Shuffling,shuffling,http://dbpedia.org/resource/Shuffling
http://ROBOPROF.org/data#Budget_constraint,budget constraint,http://dbpedia.org/resource/Budget_constraint
http://ROBOPROF.org/data#Automatic_identification_system,ais,http://dbpedia.org/resource/Automatic_identification_system
http://ROBOPROF.org/data#United_States_Citizenship_and_Immigration_Services,cis,http://dbpedia.org/resource/United_States_Citizenship_and_Immigration_Services
http://ROBOPROF.org/data#100_Hours,100 hours,http://dbpedia.org/resource/100_Hours
http://ROBOPROF.org/data#False_Positive_(How_I_Met_Your_Mother),false positive,http://dbpedia.org/resource/False_Positive_(How_I_Met_Your_Mother)
http://ROBOPROF.org/data#Fan-out,fanout,http://dbpedia.org/resource/Fan-out
http://ROBOPROF.org/data#Heuristic,heuristics,http://dbpedia.org/resource/Heuristic
http://ROBOPROF.org/data#Heuristic,heuristic,http://dbpedia.org/resource/Heuristic
http://ROBOPROF.org/data#Firewalls_and_Internet_Security,firewalls,http://dbpedia.org/resource/Firewalls_and_Internet_Security
http://ROBOPROF.org/data#IEEE_754,ieee,http://dbpedia.org/resource/IEEE_754
http://ROBOPROF.org/data#Programming_language,programming language,http://dbpedia.org/resource/Programming_language
http://ROBOPROF.org/data#Programming_language,semantic,http://dbpedia.org/resource/Programming_language
http://ROBOPROF.org/data#Middleware,middleware,http://dbpedia.org/resource/Middleware
http://ROBOPROF.org/data#Oscar_Wilde,wilde,http://dbpedia.org/resource/Oscar_Wilde
http://ROBOPROF.org/data#Graph_theory,graph,http://dbpedia.org/resource/Graph_theory
http://ROBOPROF.org/data#Software_documentation,source code documentation,http://dbpedia.org/resource/Software_documentation
http://ROBOPROF.org/data#Software_bug,bug,http://dbpedia.org/resource/Software_bug
http://ROBOPROF.org/data#Square_root,square root,http://dbpedia.org/resource/Square_root
http://ROBOPROF.org/data#System_under_test,sut,http://dbpedia.org/resource/System_under_test
http://ROBOPROF.org/data#Grep,grep,http://dbpedia.org/resource/Grep
